0,1,2,3,4,5,6,7,8,9,10,11,12,label
-775.857,27.849028,6.9420877,21.985157,11.140481,2.6251364,9.203811,9.4684925,-7.5946383,14.145542,-5.9100604,5.8774467,-3.040052,1
-700.2022,7.7849607,3.8919737,21.204432,13.914495,-10.780491,-6.1256714,2.3676367,-8.12889,8.930611,-4.125023,1.7827377,-3.599449,1
-684.81824,17.670616,7.5717945,15.143101,13.105054,5.807031,-14.398683,9.289764,-13.563714,2.4606097,-5.423393,1.3215766,-0.9207078,1
-733.77527,9.975869,10.272601,14.0979595,7.8390446,5.5490174,7.756261,11.961074,-11.835599,12.393354,-5.2347474,8.42525,-1.5839128,1
-731.62604,-10.03833,8.313665,4.476056,13.270454,2.0618482,-2.7867994,8.449809,-12.489727,11.83743,-4.199374,1.986538,-2.2672257,1
-717.34033,9.149344,0.397907,2.650329,12.139272,2.5539656,-1.9377536,1.1245893,-17.759184,12.372794,-6.5409513,2.846392,1.5984049,1
-787.1654,19.910143,11.069751,16.411913,13.881367,7.4809666,-0.6253549,9.778791,-5.3362246,13.644155,-3.916281,-0.953185,0.019444607,1
-782.6575,3.612085,14.725409,19.522684,10.4308405,3.2096832,-3.227229,5.5638347,-12.636771,14.148183,-3.851802,0.09431217,-0.6602979,1
-803.2069,11.096253,8.971993,11.085765,13.444061,8.627354,-2.1012573,12.65412,-7.7533097,13.955911,0.23958872,7.968673,0.07835596,1
-974.366,-0.13340291,19.014563,16.553488,11.706953,5.497494,7.8521066,10.96618,2.305656,21.069765,1.91236,9.012293,0.46878868,1
-676.3172,9.460202,-0.0072752195,13.3495245,8.752389,-9.994822,-8.484711,5.763131,-22.547258,12.453325,-12.496436,0.081775844,-3.8109953,0
-684.68695,0.2653569,11.981458,1.0661492,14.198162,-5.439897,-6.3682775,15.052065,-27.272419,15.262063,-14.877155,-1.0560286,-0.8632689,0
-701.9888,9.407037,-10.470631,-1.523342,0.5588951,12.7348995,-2.930404,7.050895,-14.293974,7.005829,-9.51263,-2.6807277,-0.5632246,0
-729.35095,17.878162,-1.6445986,8.834212,9.602083,-4.69233,-3.2930655,4.3931484,-15.849679,16.7635,-9.271202,7.7994366,-11.229011,0
-700.48816,19.270262,2.8373919,13.602815,20.702076,-2.2602499,-2.0259225,9.433414,-13.657737,13.814185,-5.8200684,4.264467,-0.35752225,0
-720.2195,10.180689,6.7716684,16.512056,8.320169,0.41584152,-4.365707,2.5526354,-17.053526,11.9486,-7.6387243,-0.0045002494,-0.10065158,0
-761.82916,15.051943,13.669952,12.796928,12.904914,7.795945,7.260405,9.762839,-8.480494,12.167599,-6.791293,8.309453,-3.4967399,0
-748.72675,-1.8717333,11.133063,24.40601,18.318802,10.123766,-1.8421823,1.4363205,-2.1334658,7.090291,-8.033393,8.835167,-1.177976,0
-690.9655,11.691835,13.783681,25.761225,1.0124841,0.6998684,-5.1591535,2.1630204,-15.458417,4.283989,-4.0362334,-3.1107185,-0.31966686,0
-690.7547,9.391981,10.589582,11.53367,15.187956,3.7256346,-2.0039816,6.414188,-14.518434,14.013071,-6.505662,5.9131894,-1.593503,0
-703.6451,24.454603,0.7449946,19.727867,22.98927,4.9834948,-10.592452,7.727434,-13.171784,1.9921075,-11.623229,1.7989789,3.4859755,0
-735.104,20.358458,9.798636,9.831943,8.316632,-2.5678003,3.1505144,3.3757608,-3.6243653,10.193214,-8.798728,-5.2109127,-4.126738,0
-719.4284,-0.79141635,7.828035,14.543205,3.4302492,2.1450315,5.64387,8.733117,-8.650588,9.008405,-2.872643,1.5085406,-5.460417,0
-755.5595,13.164049,11.154103,16.927855,19.45833,8.949984,3.7976136,9.075197,-9.4172535,12.237946,-7.291334,4.0113425,5.1053123,0
-659.2291,18.840866,5.1707444,12.892699,21.091314,2.4844167,-5.7662706,-1.3971769,-19.25773,16.904076,-5.6889424,3.6536613,1.7883848,0
-662.4179,29.93463,-3.3141754,5.5898695,8.029749,7.7150435,0.7728781,5.7232757,-15.68952,7.7082686,-17.45491,6.2059445,-3.2767048,0
-789.39594,19.235224,15.569146,12.742878,15.473904,5.612695,-3.2496486,10.574831,-2.8509989,13.971972,-5.2417264,5.0359387,-2.0252619,1
-669.7714,-4.092706,3.402231,10.896265,15.030255,0.15114316,-2.9308186,13.045138,-16.64833,12.062425,-6.2161956,-0.45013386,-4.7126584,1
-689.91956,9.853406,0.5665042,0.2966102,10.877547,-1.4396391,0.10484774,-1.0136634,-9.623931,5.176902,-4.90136,-2.02869,-8.556028,1
-769.5855,30.781105,12.197137,17.892149,10.907828,2.4635315,9.085675,7.110015,-11.433896,12.339894,-6.674723,5.9191527,-0.93465596,0
